label,sentence
1,在我的家里，有一盆植物叫“蜻蜓草”，咖啡色的茎，翠绿色的叶片，小巧的“身材”、十分漂亮。
0,因为它的形状像一只蜻蜓，加上它是草本植物，所以取名—“蜻蜓草”。
0,蜻蜓草还不怕干旱、没有水。
1,有一次，因为我忘记了浇水的事，整整两个星期没有浇水，结果爸爸妈妈回来，特别惊讶，妈妈大声地喊：“我的花花草草怎么枯萎了!”
1,“对不起，我忘浇水了。” 
1,“什么!”爸爸妈妈又对我大声地喊。
1,我赶紧跑回自己的房间，把门反锁起来，结果我发现蜻蜓草依然活得好好的，我不禁赞叹道：“这蜻蜓草的生命力真顽强!” 
0,蜻蜓草，我真佩服你。
0,熊猫是我国的国宝，我非常喜欢它，每次去动物园我都是第一时间去看望它。
1,熊猫的全身长着黑色和白色的皮毛，胖乎乎的，很可爱，走路慢悠悠的。
1,它头上的眼睛黑黑的，两只眼睛外面有两个黑圈，就像戴着一副特大号的眼镜。
1,耳朵是半圆形的，鼻子很小，一边走，一边闻，好似在找食物。
1,它的嘴很大，一口能吞下去很多竹叶。
1,头像小绒球一样粘在屁股是，走路一扭一扭的。
0,傻乎乎的样子可爱极了。
0,今天，阳光刺眼，晒得地上发热，可我一大早的起来扇着风扇正在做手抄报呢!
0,有点不合手抄报的意思，于是我想“没关系，失败是成功之母的开始。”
0,所以为有重画了一张手抄报，这次我可不会像上次那样要做
1,“可恶啊!我为什么就画不好呢?难道是我不专心?嗯，的确有可能。因为我有几次上课都有不专心等现象，所以我应该继续画，直到我认为满意为止。”
0,于是我说干就干。
0,拿起水彩笔，“唰唰唰”三两下就搞定了一张手抄报，可是的事。
0,这就是我的手抄报哦!
0,草率的画了，这次我可是认认真真几乎没有一点点的马虎。
0,而且我还在那手抄报上写了一首自编的诗歌，名叫《防溺水歌》可有趣了。
0,而且我的手抄报色彩还不错，上面还写了游泳之前该做的事情。
0,这就是我的手抄报。
0,今天，让我来告诉你一个我的小秘密，就是我有一个最好的“朋友”，它就是大家都离不开的书。
0,每当休息时，我都会和它在一起，它拥有无限的知识和精美的图片。
0,每次在读它的时候，就像是我的好朋友在诉说着它的故事。
0,但每天都在我身旁的，在所有书中老大、老二、老三-----它们分别是语文书、英语书和数学书。
0,上课时，它们就会出现在我的课桌上，学习它拥有的知识。
0,当然你不好好学习时，这位好朋友也会给你点“颜色”看看，例如，你上课回答不出问题时，你将会被嘲笑一番。
0,我们再来说一说他们分别的爱好，语文书喜欢到各地采集好文章，数学书喜欢想出新的解题方法，英语书喜欢到美国、英国等国去吸收新知识。
0,当然还有很多种书，例如美术书，它让我的动手能力和想象力越来越强。
0,在将来，它们教会我更多的知识，这就是我那最好的“朋友”----书
0,我的家乡是个风景优美的地方，那一望无际的湖水清澈见底，湖里生长的荷花和荷叶多得挨挨挤挤的。
1,有一次，我在荷花池里看荷花，忽然觉得自己仿佛就是一朵荷花，穿着雪白的衣裳，站在阳光里，风一吹，我就像仙子一样翩翩起舞，雪白的衣裳随风飘动，不光是我一朵，一池的荷花都在舞蹈。
1,静静地站在那，蜻蜓飞过来告诉我清早飞行的快乐，小鱼从脚下游过，告诉我昨夜做的好梦… … 
0,过了一会儿我才想起我不是荷花，我是在看荷花呢!
0,荷花，你高洁而优雅，像一位美丽的公主。
0,这就是我家乡的荷花，我爱家乡的荷花。
0,今天，我和爸爸下午去鱼塘钓鱼，太阳高照、晴空万里。
1,我到了鱼塘一看，太阳照着湖面荡漾着金光，湖边的柳树摇着枝条像少女飘扬的长发。
0,我坐在湖边的草地上开始钓鱼，首先我把鱼线往水里一扔，然后我就开始等待鱼上钩，一分钟、二分钟、三分钟......
0,都等了十分钟了还没有钓到一条鱼。
1,我不耐烦了，正准备收鱼线，突然，鱼漂猛的往下一沉，我赶紧双手抓紧鱼杆往上拉，鱼拼命挣脱着鱼钩，但是鱼钩还是牢牢的钩着鱼，鱼线绷的紧紧的，鱼在水里打出了很多浪花。
1,我用了九牛二虎之力才把鱼从水里拉起，鱼还在钩上挣扎着，爸爸把鱼抓住了。
0,看着这条活蹦乱跳的鱼，我和爸爸念念不舍的把它放回湖里去了。
1,我看这鱼摇摆着鱼尾，游走了。
0,然后我兴高采烈地回家了。
0,我实在太高兴了，因为我钓到了一条大鱼，这是我最开心的一次钓鱼!
0,今天，我们的大巴窑去青海湖去玩，听说，那里是一个很美的地方。
1,到了，到了，我兴奋的上蹦下跳，活像一只成功逃出笼子的小鸟。
1,远看，青海湖像一颗在清水里洗过的蓝钻石一样，近看，碧波荡漾的湖上让人会有一种宁静、安详的感觉。
0,如果说，浩瀚的长江是祖国母亲身上的一条美丽的金丝带，那么青海湖就是镶在金丝带上的一颗最美的蓝宝石。
0,啊....青海湖真是让人陶醉的一个地方，但愿他的美让人人都知道。
0,我爱青海湖的水，但更爱它的是——它是祖国母亲引以为傲的一颗明珠。
1,"“今天的晚饭我来做.""我很兴奋的和妈妈说。"
0,妈妈很是高兴。
1,我先拿起电饭煲的内胆，洗干净，再是取米，记住三盒，三盒就够了，为什么要洗米呢?
0,因为大米里有米虫，还有石头等脏东西。
0,洗米要洗两次，不能洗太多了，会把米饭里的营养成分洗掉，第三次是煮饭用的水，倒进的时候要注意一下多少水，妈妈和我说是食指的一节高就行了，我用食指量了量，刚好。
1,然后，我把内胆放进电饭煲里，按下”煮饭“按钮，插上电源，搞定。
0,电源的指示灯从绿变为黄色，电饭煲开始工作。
0,大约过了十五分钟，指示灯又从黄色变为绿色。
1,“指示灯绿了”“饭熟了“我高兴的叫了起来。
1,开饭了，爸爸妈妈还有爷爷奶奶都说饭很好吃，我美滋滋的笑了。
0,中秋节到了，我们全家人高高兴兴地欢度节日。
1,瞧，茶几上已经摆满了好吃的，有香喷喷的月饼，有新鲜的水果，还有美味的烤鸡等真诱人啊!
1,爷爷笑呵呵的说：我们快吃吧。
1,我心想就这样吃多没意思。
0,哎!有了。
1,我大喊：停!我有个想法，每个人只有说出一句关于月亮的古诗词，才能吃好吃的。
1,爷爷一听就乐了，说：猴子捞月亮。
1,错。这是个故事的名字，不是古诗词。
1,奶奶笑盈盈地说：月亮像月饼。
1,这也不是古诗词。
1,妈妈摇头晃脑地说：十五的月亮。
1,错这是歌词。
1,轮到爸爸了，他说：海上天明月，天涯共此时。
0,突然，我发现爸爸正拿着手机查找着。
1,我说：爸爸赖皮，这个不算。我要大展身手了。
0,床前明月光，疑是地上霜。
0,小时不识月，呼作白玉盘。
0,等，我像小鲤鱼吐泡泡一样说着。
0,哗-
1,每天上学路上， 我都能看到几位穿着橙色外套，戴着橙色帽子的人。
1,他们或弯腰在马路中央清洁隔离栏杆，或一手拿着扫帚一手拿着收垃圾的筐子在扫街道上的落叶和果皮纸屑。
0,他们是被称为城市“美容师”的清洁工人。
0,有一天在上学途中，我随手把牛奶盒子扔在马路边上。
1,爸爸生气地批评我说:“一会儿，清洁工来马路上捡盒子，多危险呀。”
1,"我说”清洁工的工作就是捡垃圾呀。"""
1,爸爸说:“你不要以为清洁工的工作很轻松，我们的城市有几十万人，如果每个人都乱扔垃圾，清洁工就会增加很多工作。”
0,我明白了爸爸的话。
0,从那以后，我不再乱扔垃圾了。
0,"我每天都关注上学路上的清洁工，无论是刮风下雨，还是烈日曝晒，他们都会出现在外面,顶着风雨和烈日辛勤地工作。"
0,我看着干干净净的马路从心底里感动了，我感谢他们无私奉献。
0,我要告诉小朋友们，“爱护环境，从我做起。
0,今天我上一年级了。
0,哈哈，你们还不知道我的名字叫什么?
0,我的名字叫米小圈，因为我名我小时候哦尿床尿了一个中国地图，我老爸就说我以后一定是个大画家，他就天天逼着我画画。
0,然后呢，还有一个原因是我想刚出生时，嗯嗯，不知怎么拿这个比?
0,在白纸上画了一个。
0,圆圈所以叫米小圈。
0,我和妈妈吃完晚饭去黉街，发现有一个水池，里面有成群结队的小金鱼。
1,其中有一条彩虹鱼，他五彩缤纷的，非常好看。它有蓝色、黄色、黑色、红色等等。
1,还要一条透明的黑色小鱼。
1,我用其他人掉下来的爆米花喂鱼，它们一个一个的排着队游过来吃爆米花。
